source_workspace_id;source_attribute;object_title;legacy_object_id;legacy_object_type;aac_lookup_category
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Hourly Inbound Time Trends;1451;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Inbound Workflow Overview;1062952;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Agent Script Detail (with Custom Fields);3851837;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Hourly Inbound Call Trends;1453;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Dialer Performance and Penetration;1462;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Agent Conduct and RNA: Agent RNA UIIs;3837466;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Test: Call Details;1450;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Workflow Detail (with Custom Fields);1062949;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Hourly Dialer Disposition Trend;1455;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Hourly Inbound Statistics;1459;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedquarterhour;Workflow Detail (with Talk Time);1062950;visualizationObject;visualization
